District_name,District_code,State_code,State_name,MSL_2001,MSL_2003,MSL_2005,MSL_2007,MSL_2009,MSL_2011,MSL_Actual_2001,MSL_change,MSL_change_old
Janjgir - Champa,405,22,CHHATTISGARH,3,3,3,3,3,3,2,1,1
Bilaspur,406,22,CHHATTISGARH,3,2,3,2,2,2,2,1,1
Kawardha,407,22,CHHATTISGARH,3,2,3,3,3,3,2,1,1
Rajnandgaon,408,22,CHHATTISGARH,2,2,2,2,3,3,2,1,1
Durg,409,22,CHHATTISGARH,3,2,3,3,3,3,2,1,1
Raipur,410,22,CHHATTISGARH,3,2,3,2,3,3,2,1,1
Mahasamund,411,22,CHHATTISGARH,3,3,3,3,3,3,2,1,1
Dhamtari,412,22,CHHATTISGARH,3,2,3,3,3,3,2,1,1
Kanker,413,22,CHHATTISGARH,3,3,3,3,1,2,2,0,0
Bastar,414,22,CHHATTISGARH,3,3,3,2,1,2,1,1,1
Dantewada,416,22,CHHATTISGARH,2,3,3,2,2,2,1,0,0
Sheopur,418,23,MADHYA PRADESH,3,3,3,3,2,2,2,0,0
Morena,419,23,MADHYA PRADESH,2,3,3,2,3,1,2,0,-1
Bhind,420,23,MADHYA PRADESH,3,3,3,2,3,3,2,0,-1
Gwalior,421,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Datia,422,23,MADHYA PRADESH,3,3,3,3,3,2,2,0,0
Shivpuri,423,23,MADHYA PRADESH,3,3,3,3,3,3,2,0,0
Tikamgarh,424,23,MADHYA PRADESH,3,2,3,3,3,2,2,0,0
Chhatarpur,425,23,MADHYA PRADESH,3,3,2,3,2,2,2,0,0
Panna,426,23,MADHYA PRADESH,3,2,2,2,3,1,1,0,0
Sagar,427,23,MADHYA PRADESH,2,3,2,2,2,2,2,0,0
Damoh,428,23,MADHYA PRADESH,2,2,1,3,3,2,2,0,0
Satna,429,23,MADHYA PRADESH,3,2,3,3,3,3,2,0,0
Rewa,430,23,MADHYA PRADESH,2,2,1,3,3,1,2,0,0
Umaria,431,23,MADHYA PRADESH,3,3,1,3,3,2,2,0,0
Neemuch,432,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Mandsaur,433,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Ratlam,434,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,-1
Ujjain,435,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Shajapur,436,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Dewas,437,23,MADHYA PRADESH,2,3,2,2,3,3,3,0,0
Dhar,438,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Indore,439,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
West Nimar,440,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Barwani,441,23,MADHYA PRADESH,3,3,3,3,3,3,2,1,1
Rajgarh,442,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,-1
Vidisha,443,23,MADHYA PRADESH,3,3,3,3,2,2,2,0,0
Bhopal,444,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Sehore,445,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Raisen,446,23,MADHYA PRADESH,3,3,3,3,2,2,3,0,-1
Betul,447,23,MADHYA PRADESH,2,2,2,2,2,2,3,0,-1
Harda,448,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Hoshangabad,449,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Katni,450,23,MADHYA PRADESH,2,2,1,2,2,2,2,0,0
Jabalpur,451,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Narsimhapur,452,23,MADHYA PRADESH,3,3,3,2,3,2,3,0,-1
Dindori,453,23,MADHYA PRADESH,2,3,3,2,2,2,1,0,0
Mandla,454,23,MADHYA PRADESH,2,3,3,3,3,2,2,0,0
Chhindwara,455,23,MADHYA PRADESH,3,2,2,3,2,3,3,0,0
Seoni,456,23,MADHYA PRADESH,3,3,3,3,3,2,2,0,0
Balaghat,457,23,MADHYA PRADESH,2,2,2,2,1,2,2,0,0
Guna,458,23,MADHYA PRADESH,2,2,2,3,3,2,2,0,0
Shahdol,460,23,MADHYA PRADESH,3,2,3,3,3,2,2,0,0
Sidhi,462,23,MADHYA PRADESH,3,2,1,3,3,2,1,0,0
Jhabua,464,23,MADHYA PRADESH,3,3,3,3,3,2,2,0,0
East Nimar,466,23,MADHYA PRADESH,3,3,3,3,3,3,3,0,0
Kachchh,468,24,GUJARAT,3,3,3,3,3,3,3,0,0
Banas Kantha,469,24,GUJARAT,3,2,3,3,3,2,2,0,0
Patan,470,24,GUJARAT,3,3,3,3,3,3,2,1,1
Mahesana,471,24,GUJARAT,3,3,3,3,3,3,3,0,0
Sabar Kantha,472,24,GUJARAT,2,3,3,3,3,3,3,0,0
Gandhinagar,473,24,GUJARAT,3,3,3,3,3,3,3,0,0
Ahmadabad,474,24,GUJARAT,3,3,3,3,3,3,3,0,0
Surendranagar,475,24,GUJARAT,3,3,3,3,3,3,3,0,0
Rajkot,476,24,GUJARAT,3,3,3,3,3,3,3,0,0
Jamnagar,477,24,GUJARAT,3,3,3,3,3,3,3,0,0
Porbandar,478,24,GUJARAT,3,3,3,3,3,3,3,0,0
Junagadh,479,24,GUJARAT,3,3,3,3,3,3,3,0,0
Amreli,480,24,GUJARAT,3,3,3,3,3,3,3,0,0
Bhavnagar,481,24,GUJARAT,3,3,3,3,3,3,3,0,0
Anand,482,24,GUJARAT,3,3,3,3,3,3,3,0,0
Kheda,483,24,GUJARAT,3,3,3,3,3,3,2,1,1
Panch Mahals,484,24,GUJARAT,2,3,3,3,3,3,2,1,1
Dohad,485,24,GUJARAT,3,3,3,3,3,2,1,1,1
Vadodara,486,24,GUJARAT,3,3,3,3,3,3,3,0,0
Narmada,487,24,GUJARAT,3,3,3,3,3,3,2,1,1
Bharuch,488,24,GUJARAT,3,3,3,3,3,3,3,0,0
The Dangs,489,24,GUJARAT,3,3,3,3,3,2,2,0,0
Navsari,490,24,GUJARAT,3,3,3,3,2,3,3,0,0
Valsad,491,24,GUJARAT,3,3,3,3,3,3,3,0,0
Surat,492,24,GUJARAT,3,3,3,3,3,3,3,0,0
Diu,494,25,DAMAN & DIU,3,2,2,2,2,3,3,0,0
Daman,495,25,DAMAN & DIU,3,3,2,3,3,3,3,0,0
Dadra & Nagar Haveli,496,26,DADRA & NAGAR HAVELI,3,3,3,3,3,3,3,0,0
Nandurbar,497,27,MAHARASHTRA,3,3,3,3,3,3,2,0,0
Dhule,498,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Jalgaon,499,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Buldana,500,27,MAHARASHTRA,3,3,3,3,3,3,2,1,1
Akola,501,27,MAHARASHTRA,3,3,3,3,3,3,2,1,1
Washim,502,27,MAHARASHTRA,3,3,3,3,3,3,2,1,1
Amravati,503,27,MAHARASHTRA,2,3,3,3,3,3,2,1,1
Wardha,504,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Nagpur,505,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Bhandara,506,27,MAHARASHTRA,3,3,3,3,2,3,2,1,1
Gondiya,507,27,MAHARASHTRA,3,3,3,3,3,2,2,1,1
Gadchiroli,508,27,MAHARASHTRA,3,3,2,2,2,2,2,0,0
Chandrapur,509,27,MAHARASHTRA,3,3,2,3,3,3,2,1,1
Yavatmal,510,27,MAHARASHTRA,3,3,3,3,3,2,2,0,0
Nanded,511,27,MAHARASHTRA,3,3,3,3,3,3,2,1,1
Hingoli,512,27,MAHARASHTRA,3,3,3,3,3,2,2,0,0
Parbhani,513,27,MAHARASHTRA,3,3,3,3,3,3,2,1,1
Jalna,514,27,MAHARASHTRA,3,3,3,3,3,3,2,1,1
Aurangabad,515,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Thane,516,27,MAHARASHTRA,3,3,3,3,3,3,2,1,1
Thane,517,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Mumbai (Suburban),518,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Mumbai,519,27,MAHARASHTRA,3,3,3,2,3,3,3,0,0
Raigarh,520,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Pune,521,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Ahmadnagar,522,27,MAHARASHTRA,3,3,3,3,3,3,2,1,1
Bid,523,27,MAHARASHTRA,3,3,3,3,3,3,2,1,1
Latur,524,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Osmanabad,525,27,MAHARASHTRA,3,3,3,3,3,3,2,0,0
Solapur,526,27,MAHARASHTRA,3,3,3,3,3,3,2,0,0
Satara,527,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Ratnagiri,528,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Sindhudurg,529,27,MAHARASHTRA,3,2,3,3,3,3,3,0,0
Kolhapur,530,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Sangli,531,27,MAHARASHTRA,3,3,3,3,3,3,3,0,0
Adilabad,532,28,ANDHRA PRADESH,3,3,3,3,3,3,2,1,1
Nizamabad,533,28,ANDHRA PRADESH,3,3,3,3,3,3,3,0,0
Karimnagar,534,28,ANDHRA PRADESH,3,3,3,3,3,3,3,0,0
Medak,535,28,ANDHRA PRADESH,3,3,3,3,3,3,2,1,1
Hyderabad,536,28,ANDHRA PRADESH,3,3,2,3,2,3,3,0,0
Rangareddi,537,28,ANDHRA PRADESH,3,3,3,3,3,2,3,0,0
Mahbubnagar,538,28,ANDHRA PRADESH,3,3,3,3,3,3,2,1,1
Nalgonda,539,28,ANDHRA PRADESH,3,3,3,3,3,3,2,1,1
Warangal,540,28,ANDHRA PRADESH,3,2,3,3,3,3,2,1,1
Khammam,541,28,ANDHRA PRADESH,3,3,3,3,3,3,2,1,1
Srikakulam,542,28,ANDHRA PRADESH,3,3,3,2,3,3,2,1,1
Vizianagaram,543,28,ANDHRA PRADESH,2,3,3,3,3,3,2,1,1
Visakhapatnam,544,28,ANDHRA PRADESH,3,3,3,3,2,3,2,1,1
East Godavari,545,28,ANDHRA PRADESH,2,3,3,3,3,3,2,1,1
West Godavari,546,28,ANDHRA PRADESH,3,3,3,3,3,3,2,1,1
Krishna,547,28,ANDHRA PRADESH,3,3,3,3,2,3,3,0,0
Guntur,548,28,ANDHRA PRADESH,3,3,3,3,3,3,2,1,1
Prakasam,549,28,ANDHRA PRADESH,3,3,3,3,3,3,2,1,1
Nellore,550,28,ANDHRA PRADESH,3,3,3,3,3,3,2,1,1
Cuddapah,551,28,ANDHRA PRADESH,3,3,3,3,3,3,3,0,0
Kurnool,552,28,ANDHRA PRADESH,3,3,3,3,3,3,2,1,1
Anantapur,553,28,ANDHRA PRADESH,3,3,3,3,3,3,3,0,0
Chittoor,554,28,ANDHRA PRADESH,2,3,3,3,3,3,2,1,1
Belgaum,555,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Bagalkot,556,29,KARNATAKA,3,3,3,3,3,3,2,1,1
Bijapur,557,29,KARNATAKA,3,3,3,3,3,3,2,1,1
Bidar,558,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Raichur,559,29,KARNATAKA,3,3,3,3,3,3,2,1,1
Koppal ,560,29,KARNATAKA,3,3,3,3,3,3,2,1,1
Gadag,561,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Dharwad,562,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Uttara Kannada,563,29,KARNATAKA,3,3,3,3,2,3,3,0,0
Haveri,564,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Bellary,565,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Chitradurga,566,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Davanagere ,567,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Shimoga,568,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Udupi,569,29,KARNATAKA,3,3,2,3,3,3,2,1,1
Chikmagalur,570,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Tumkur,571,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Bangalore,572,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Mandya,573,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Hassan,574,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Dakshina Kannada,575,29,KARNATAKA,3,3,3,3,3,3,2,1,1
Kodagu,576,29,KARNATAKA,3,3,3,2,3,3,2,1,1
Mysore,577,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Chamarajanagar,578,29,KARNATAKA,3,3,3,3,3,3,2,1,1
Gulbarga,579,29,KARNATAKA,3,3,3,3,3,3,2,1,1
Kolar,581,29,KARNATAKA,3,3,3,3,3,3,3,0,0
Bangalore Rural,583,29,KARNATAKA,3,3,3,3,3,3,3,0,0
North Goa ,585,30,GOA,3,3,3,3,3,3,3,0,0
South Goa,586,30,GOA,3,3,3,3,3,3,3,0,0
Lakshadweep,587,31,LAKSHADWEEP,3,2,2,2,2,2,3,0,0
Kasaragod,588,32,KERALA,3,3,3,3,3,3,2,1,1
Kannur,589,32,KERALA,3,3,3,3,3,3,2,1,1
Wayanad,590,32,KERALA,3,3,3,3,3,3,2,1,1
Kozhikode,591,32,KERALA,3,3,3,3,2,3,2,1,1
Malappuram,592,32,KERALA,3,3,3,3,3,3,2,1,1
Palakkad,593,32,KERALA,3,3,3,3,3,3,2,1,1
Thrissur,594,32,KERALA,3,3,2,3,3,3,3,0,0
Ernakulam,595,32,KERALA,3,3,3,3,3,3,3,0,0
Idukki,596,32,KERALA,3,3,2,3,3,3,2,1,1
Kottayam,597,32,KERALA,3,3,3,3,3,3,3,0,0
Alappuzha,598,32,KERALA,3,3,3,3,3,3,3,0,0
Pathanamthitta,599,32,KERALA,3,3,2,3,3,3,2,1,1
Kollam,600,32,KERALA,3,2,3,3,3,3,3,0,0
Thiruvananthapuram,601,32,KERALA,3,2,3,3,3,3,3,0,0
Thiruvallur,602,33,TAMIL NADU,2,3,3,3,2,3,3,0,0
Chennai,603,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Kancheepuram,604,33,TAMIL NADU,3,3,3,3,2,3,3,0,0
Vellore,605,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Tiruvannamalai,606,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Viluppuram,607,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Salem,608,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Namakkal,609,33,TAMIL NADU,3,2,3,3,3,3,3,0,0
Erode,610,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
The Nilgiris,611,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Dindigul,612,33,TAMIL NADU,3,3,3,3,3,3,2,1,1
Karur,613,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Tiruchirappalli,614,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Perambalur,615,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Ariyalur,616,33,TAMIL NADU,3,3,3,3,3,3,2,1,1
Cuddalore,617,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Nagapattinam,618,33,TAMIL NADU,3,3,3,3,2,3,2,1,1
Thiruvarur,619,33,TAMIL NADU,3,3,3,3,2,3,2,1,1
Thanjavur,620,33,TAMIL NADU,3,3,3,3,3,3,2,1,1
Pudukkottai,621,33,TAMIL NADU,3,3,3,3,3,3,2,1,1
Sivaganga,622,33,TAMIL NADU,3,3,3,3,3,3,2,1,1
Madurai,623,33,TAMIL NADU,3,3,2,3,3,3,3,0,0
Theni,624,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Virudhunagar,625,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Ramanathapuram,626,33,TAMIL NADU,3,3,3,3,3,3,2,1,1
Thoothukkudi,627,33,TAMIL NADU,3,3,3,2,3,3,3,0,0
Tirunelveli ,628,33,TAMIL NADU,3,2,3,3,3,3,3,0,0
Kanniyakumari,629,33,TAMIL NADU,3,2,3,2,3,3,3,0,0
Dharmapuri,630,33,TAMIL NADU,3,3,3,3,3,3,2,1,1
Coimbatore,632,33,TAMIL NADU,3,3,3,3,3,3,3,0,0
Yanam,634,34,PUDUCHERRY,3,3,2,2,2,3,3,0,0
Pondicherry,635,34,PUDUCHERRY,3,2,3,3,2,3,3,0,0
Mahe,636,34,PUDUCHERRY,3,2,2,2,2,3,3,0,0
Karaikal,637,34,PUDUCHERRY,3,2,2,2,2,3,3,0,0
Nicobars,638,35,ANDAMAN & NICOBAR ISLANDS,3,2,2,2,2,2,3,0,0
Andamans,639,35,ANDAMAN & NICOBAR ISLANDS,3,2,2,2,2,2,3,0,0
